ID,Ca,Y,EA,log_sigma_300,GPf,GPsd,ei
1,0,0,,,-5.310760591118008,0.3501102528376814,0.0012560662709084555
2,0,4,,,-5.263625776194306,0.34645636772285354,0.001716195792140187
3,0,8,,,-5.138773394371426,0.3209326648921069,0.002868372045208043
4,0,12,,,-4.943545925068413,0.243209182752142,0.003376150126963528
5,0,16,,,-4.849984861303942,0.17041417489529836,0.001314205059755615
6,0,20,,,-4.967606821032696,0.24799343925005807,0.002938354819250295
7,0,24,,,-5.165934824562482,0.32120584457819695,0.0022956597489874435
8,0,28,,,-5.288677908910132,0.341504066151747,0.001248857607284196
9,0,32,,,-5.303479367173933,0.3187827083985258,0.0006177717127651356
10,0,36,,,-5.262429873428554,0.2297490021643905,2.8671028736609904e-05
11,0,40,,,-5.305092757638352,0.1367874238388147,5.0229401395650104e-11
12,0,44,,,-5.503482042884887,0.13274970806914543,4.1273122732432943e-16
13,0,48,0.436355985,-5.692503962,-5.692458722850202,0.0038328115117415977,0.0
14,4,0,,,-5.087757917722062,0.3134120623369373,0.003787041005258559
15,4,4,,,-5.057736993206416,0.3115547559179633,0.00467276859036906
16,4,8,,,-4.984400810646149,0.2571006197220302,0.003054371436745369
17,4,12,,,-4.8194974579105,0.1379731634610755,0.0005150575705518317
18,4,16,0.3698883,-4.739928612,-4.7400205445639525,0.003832469978957244,0.0
19,4,20,,,-4.863215164435176,0.1368136317941078,0.0001805797339120513
20,4,24,,,-5.053882501330626,0.24771030613150097,0.001131642515920555
21,4,28,,,-5.20098607399548,0.29184292736173045,0.0008147389392330739
22,4,32,,,-5.282590008532388,0.2705030953731495,0.00015601352734169547
23,4,36,,,-5.270321012202981,0.17721307399372577,2.79549156775399e-07
24,4,40,0.407303175,-5.273272791,-5.2733350982259,0.0038318489824015656,0.0
25,4,44,,,-5.421319247998228,0.14963413376203547,9.791989785468224e-12
26,4,48,,,-5.596927501172922,0.19685548345567278,4.597325289401061e-10
27,8,0,,,-4.74387223399344,0.1914736570207139,0.009532837189877606
28,8,4,,,-4.770478513690231,0.23537771632674442,0.015032272826153444
29,8,8,,,-4.884625289499029,0.17207099923829208,0.0008001347866108885
30,8,12,0.385028162,-4.920818754,-4.920816665923944,0.003832665239398132,0.0
31,8,16,,,-4.931627115281731,0.08952695241167616,1.4687957412551243e-08
32,8,20,0.387142501,-4.978810701,-4.978789171127945,0.003832496415577341,0.0
33,8,24,,,-5.01879678860319,0.12191561537425788,3.0646562163160204e-07
34,8,28,,,-5.121924461991194,0.16127076657493802,2.3409747952050805e-06
35,8,32,,,-5.29776858831762,0.14442717181736747,4.6353319917399247e-10
36,8,36,,,-5.359587429834579,0.11633350939384447,1.3766288389436938e-15
37,8,40,0.410725824,-5.316052869,-5.316003217661137,0.003830223616898141,0.0
38,8,44,,,-5.35315723867894,0.1794437260528783,3.7978135142092726e-08
39,8,48,,,-5.458232162925674,0.28439477288189413,2.8929949185445216e-05
40,12,0,0.351998805,-4.503070352,-4.503149025032797,0.00383268331010361,0.0014900050204090741
41,12,4,,,-4.5803091776151605,0.14429379589144267,0.02700120757802527
42,12,8,,,-4.8935995147671205,0.17174296076184728,0.0006785800530725514
43,12,12,,,-5.158454818356432,0.16056505614550173,7.961445219010422e-07
44,12,16,,,-5.252846805267222,0.1465953449058112,4.213307021635327e-09
45,12,20,,,-5.189021199436798,0.08089487526989642,1.0503846430825903e-19
46,12,24,,,-5.060316105709334,0.0757509128073467,9.405287807134676e-16
47,12,28,0.394321329,-5.098541679,-5.098652414180691,0.003832061697450349,0.0
48,12,32,0.412323986,-5.321481621,-5.321394388911168,0.0038315050995192707,0.0
49,12,36,,,-5.429358573183158,0.06914916108542084,1.639932675301059e-43
50,12,40,0.414422443,-5.358525889,-5.358570404816355,0.0038316901771355653,0.0
51,12,44,,,-5.319906203396348,0.16699446889313846,1.5894169268581814e-08
52,12,48,,,-5.370279624253657,0.2677172726262125,4.2841365516863364e-05
53,16,0,,,-4.601488403715677,0.16166492315205022,0.02688134410824664
54,16,4,0.368274255,-4.698970004,-4.699016745101305,0.0038326515293820697,0.0
55,16,8,,,-5.0775826733356375,0.15720289595737974,4.917269021715949e-06
56,16,12,,,-5.398853285881111,0.2172230288315736,8.90359518894991e-07
57,16,16,,,-5.44430141331661,0.16033107824159362,5.628679519212212e-11
58,16,20,0.412218766,-5.27572413,-5.275690428569171,0.0038326537323968234,0.0
59,16,24,,,-5.108343265162821,0.1189259339432176,3.919991636669302e-09
60,16,28,,,-5.159674814494368,0.10487213367272895,3.057791600537039e-12
61,16,32,0.418305681,-5.379863945,-5.379870901544272,0.0038320625126823087,0.0
62,16,36,,,-5.4879691801382515,0.11196077215050353,8.738921540014283e-21
63,16,40,,,-5.4349103185874235,0.12306131442027111,2.886789461950438e-16
64,16,44,,,-5.399254810178986,0.13380156644132213,2.027330301526276e-13
65,16,48,,,-5.428574867036227,0.1437383730259549,1.2858559771121855e-12
66,20,0,,,-4.94377011484496,0.2697161799864068,0.005784029697238253
67,20,4,,,-5.033014978344756,0.180386403523012,8.571909290137913e-05
68,20,8,,,-5.320042975819915,0.14309265916575484,1.3446038139740378e-10
69,20,12,,,-5.504231995997351,0.1316611871386441,2.404866015040342e-16
70,20,16,,,-5.3963931386042,0.13940897175002157,1.534547247561536e-12
71,20,20,,,-5.167601411113276,0.08065993785037748,8.289451931230087e-19
72,20,24,,,-5.094151468384109,0.17400028829959763,1.5254924257159983e-05
73,20,28,,,-5.252158189997271,0.16891682604580543,1.6113815974699927e-07
74,20,32,,,-5.4867950542148725,0.06585364177269705,4.0718036234774954e-53
75,20,36,,,-5.611411361765582,0.17963474175995145,9.478456167391878e-12
76,20,40,,,-5.637559590256638,0.2251720607312523,9.795380695443714e-09
77,20,44,,,-5.672986222232733,0.17128713600025583,1.0223167800469704e-13
78,20,48,0.441795694,-5.696803943,-5.6968307278372095,0.0038322342552944543,0.0
79,24,0,,,-5.225091769468847,0.330955394674769,0.0017039293856932272
80,24,4,,,-5.247492405955607,0.2877429436735584,0.00043884084224818376
81,24,8,,,-5.340838003677179,0.18241859486581233,8.018560976339912e-08
82,24,12,0.417265386,-5.353596274,-5.353473694667049,0.003832196447477581,0.0
83,24,16,,,-5.210751763772787,0.10334160105038452,5.432720410601009e-14
84,24,20,0.395597874,-5.07109231,-5.071186212629677,0.0038326339806569543,0.0
85,24,24,,,-5.119253000939037,0.16470391473394488,3.5949898991218806e-06
86,24,28,,,-5.331761135250807,0.16712623599254528,1.1154168888202053e-08
87,24,32,0.434035175,-5.562249437,-5.56222401022894,0.003832638704214885,0.0
88,24,36,,,-5.7331080064015385,0.1430860060594182,6.666439407657728e-20
89,24,40,,,-5.881896408665979,0.1705336076837069,6.3500602970644904e-18
90,24,44,,,-6.028660668085992,0.14651461556020534,1.5020217223973389e-27
91,24,48,0.469764534,-6.064996849,-6.0649366288997655,0.003832026150523995,0.0
92,28,0,,,-5.328283541083518,0.3435099158615492,0.0009280487292817243
93,28,4,,,-5.252313059387734,0.30144052670992677,0.0006317527154457948
94,28,8,,,-5.168486420322664,0.1855528586585985,7.677850251299639e-06
95,28,12,0.40165898,-5.11407366,-5.1142028606349115,0.003832124834529849,0.0
96,28,16,,,-5.119709270000165,0.11019280815985696,2.0397480725738238e-10
97,28,20,,,-5.179487712160493,0.0759348009435588,2.164647057515738e-21
98,28,24,,,-5.272294277537513,0.18043517311119814,3.8898249321028855e-07
99,28,28,,,-5.384191449855715,0.18331549663548835,2.7164906706800603e-08
100,28,32,,,-5.522846274353397,0.08885031843408285,6.531022263160444e-33
101,28,36,,,-5.712707155170619,0.1073390888716937,8.725499937215906e-32
102,28,40,0.462905339,-5.962573502,-5.962543415467335,0.0038327187107268412,0.0
103,28,44,,,-6.209885334904716,0.1060879572876795,1.0022345009627635e-60
104,28,48,,,-6.282891828998095,0.06495711291502013,3.2469323862239033e-168
105,32,0,,,-5.353353594797198,0.32546855949992215,0.00045784046107340704
106,32,4,,,-5.249624155718267,0.2411947099565362,6.558061269552797e-05
107,32,8,,,-5.128308851257092,0.12277154896905014,3.976732774086897e-09
108,32,12,,,-5.089949968967129,0.0986720940646477,2.1421713639509683e-11
109,32,16,,,-5.182996376600254,0.12319901700129474,3.5903621886432377e-10
110,32,20,0.416256856,-5.313363731,-5.31326953189052,0.003832564155812842,0.0
111,32,24,,,-5.368233223334277,0.1667829015818939,3.2116884901353592e-09
112,32,28,,,-5.364665941115123,0.16876604501228037,5.1043499893642205e-09
113,32,32,0.423068404,-5.408935393,-5.408959899118177,0.0038327641073703273,0.0
114,32,36,,,-5.56726953333554,0.1366371970671318,5.766272357438136e-17
115,32,40,,,-5.821068783008144,0.12755414136063906,3.033790898635689e-27
116,32,44,,,-6.088127823797432,0.10063067521958363,2.1344827853932196e-58
117,32,48,0.482950865,-6.199282922,-6.199212835375322,0.003832465486560452,0.0
118,36,0,,,-5.381531567578574,0.3061663073411184,0.00018430923652018052
119,36,4,,,-5.3309992111926405,0.17346088564709697,3.0572793154091554e-08
120,36,8,0.417866931,-5.282329497,-5.282332056500843,0.0038325621820945776,0.0
121,36,12,,,-5.270371688901538,0.10182017244342385,3.171275516229931e-16
122,36,16,,,-5.314314711753671,0.1296128785160881,3.829584820018463e-12
123,36,20,,,-5.373121109451039,0.05651126188353001,3.1660598135718603e-56
124,36,24,,,-5.377928142677633,0.17708655065543755,1.3018360728157511e-08
125,36,28,,,-5.347160542139084,0.2237619543256254,4.284364009706168e-06
126,36,32,,,-5.369184940500547,0.1821262632673545,3.5108830313226794e-08
127,36,36,,,-5.474875745208584,0.19562528720993075,1.2430719510418957e-08
128,36,40,,,-5.633518866675508,0.13885023152789797,3.2356630052703366e-18
129,36,44,0.454567099,-5.815308569,-5.815325167322277,0.003832454854082711,0.0
130,36,48,,,-5.924713360609311,0.13606347063229304,9.534653703673009e-28
131,40,0,,,-5.4296941597186015,0.3051121982709539,0.00010225522900359613
132,40,4,,,-5.439722876394027,0.1806631059359111,3.5339921263088065e-09
133,40,8,,,-5.4391669253459485,0.06445738346758015,1.9125431820122146e-50
134,40,12,0.429901791,-5.436518915,-5.436466995558228,0.00383222069039882,0.0
135,40,16,,,-5.503727042108638,0.07648000766256446,1.176065716632368e-41
136,40,20,0.440197532,-5.603800653,-5.604039278843416,0.0038314421844714073,0.0
137,40,24,,,-5.587750493627331,0.1743579537111362,6.604184595764164e-12
138,40,28,,,-5.498408448428237,0.2754924230668221,1.022140456569229e-05
139,40,32,,,-5.492015853739669,0.2747761172211318,1.0786380796628511e-05
140,40,36,,,-5.556112963542268,0.20374342264149878,4.355280214042709e-09
141,40,40,,,-5.611952111989234,0.11274570737044286,4.459921169723226e-25
142,40,44,,,-5.681546817219268,0.07956492707277697,3.2859788499020995e-52
143,40,48,,,-5.751573805100553,0.19060585616126952,8.010349652417377e-13
144,44,0,,,-5.5146204026463375,0.30905627775245786,4.3562529038410546e-05
145,44,4,,,-5.568843297404426,0.17877543189466508,3.5609964450084325e-11
146,44,8,0.438736354,-5.515700161,-5.515757353046697,0.0038317649563264053,0.0
147,44,12,,,-5.409457436533706,0.09001539097481775,3.313633894539064e-26
148,44,16,,,-5.5162788563246234,0.08158934028991989,6.73695022292059e-38
149,44,20,0.454970114,-5.777283529,-5.776912682961164,0.0038305985198045286,0.0
150,44,24,,,-5.816034821806581,0.13314690580904848,4.065460660856581e-25
151,44,28,,,-5.679108910117007,0.2385363443439825,1.8495896489916183e-08
152,44,32,,,-5.660183817570838,0.24393985949905292,5.0043281734063244e-08
153,44,36,,,-5.733714791471394,0.13346613439169389,2.0896826379247715e-22
154,44,40,0.45181945,-5.761953897,-5.761936285532909,0.003831638146043325,0.0
155,44,44,0.454328863,-5.785156152,-5.785184602655323,0.003831502368744725,0.0
156,44,48,,,-5.819637046600793,0.13502611793286184,1.246065106509935e-24
157,48,0,,,-5.597779605320775,0.3159552550891756,2.12459243019731e-05
158,48,4,,,-5.6826671376272815,0.19155273695945915,1.0915228689865385e-11
159,48,8,0.439147311,-5.536107011,-5.536007185793564,0.003832128608575839,0.0
160,48,12,,,-5.219552481013881,0.08764992595671511,1.550141628485806e-18
161,48,16,0.412524501,-5.181114585,-5.181317093841622,0.0038323892169801256,0.0
162,48,20,,,-5.471204188341035,0.08179759317321057,8.694471170569735e-35
163,48,24,0.445601505,-5.632644079,-5.632708086241532,0.00383255626565587,0.0
164,48,28,,,-5.616976119139794,0.14743243259185754,3.9436325412578096e-16
165,48,32,,,-5.689683955934738,0.15338037243608,9.823695767133581e-17
166,48,36,0.458762028,-5.818156412,-5.818116901589763,0.003832565188692031,0.0
167,48,40,,,-5.875316788903041,0.1427392830264872,5.091095823924035e-24
168,48,44,,,-5.911878049380002,0.14318255799464905,5.441350724982002e-25
169,48,48,0.465418723,-5.931814138,-5.9317485043849745,0.003832561989642995,0.0
